koi_fpflag_co,koi_time0,koi_impact,koi_duration,koi_depth,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_ldm_coeff2,koi_model_snr,koi_count,koi_tce_plnt_num,koi_smet,ra,dec,koi_fwm_sdec,koi_fwm_srao,koi_fittype_ls,koi_fittype_lsmcmc,koi_fittype_mcmc,koi_disposition
0.0,2455027.713,0.408,8.30604,59130.0,0.85882,27.22,0.219,89.42,606.0,31.86,40.039,0.3032,1667.3,1.0,1.0,-0.24,282.30603,44.714661,44.7146691,-0.1807,0.0,1.0,0.0,1
0.0,2455006.358,0.985,3.0231,969.7,0.09306,4.37,0.0654,80.64,952.0,194.18,6.06,0.2979,45.4,1.0,1.0,-0.6,301.04956,44.706299,44.70654,1.66,0.0,1.0,0.0,1
0.0,2455006.536,0.203,16.9422,66068.0,0.16218,29.66,0.2904,89.59,549.0,21.4,28.303,0.3022,1843.8,1.0,1.0,0.21,290.63898,44.806789,44.8068245,0.0581,0.0,1.0,0.0,1
0.0,2455035.26,0.023,11.4813,13494.0,0.25463,20.7,0.216,89.95,745.0,72.71,24.869,0.26,529.9,2.0,1.0,0.16,297.47586,41.114288,41.1142837,-0.0286,0.0,1.0,0.0,1
0.0,2455004.63,0.886,4.23479,40293.0,1.47871,26.56,0.1476,88.39,700.0,56.84,31.477,0.2889,1398.8,1.0,1.0,-0.08,289.72748,45.367661,45.3676508,-0.0292,0.0,1.0,0.0,1
1.0,2455021.983,1.245,3.81881,20953.0,1.33386,44.04,0.162,87.92,652.0,42.8,34.28,0.3058,547.8,1.0,1.0,-0.38,294.71768,45.48576,45.4857623,-1.131,0.0,1.0,0.0,1
1.0,2455004.65,1.234,3.119,1037.4,0.03494,23.88,0.0403,62.34,1079.0,319.76,2.66,0.2396,37.2,1.0,1.0,-0.14,297.78848,45.565418,45.559407,44.48,0.0,1.0,0.0,1
0.0,2454991.075,0.922,15.735,1896.7,0.02838,39.0,0.5554,87.9,797.0,95.4,25.15,0.1697,86.1,1.0,1.0,0.07,296.81772,46.781509,46.781529,-0.164,0.0,1.0,0.0,1
0.0,2454966.523,1.2962,3.539,186.7,0.21525,35.74,0.012,8.59,2562.0,10177.11,1.312,0.2976,28.9,1.0,1.0,0.07,297.10349,47.64357,47.6437,0.0,0.0,0.0,1.0,1
0.0,2455003.248,1.246,0.86896,1973.3,0.78464,59.56,0.0099,46.6,3000.0,19256.81,1.814,0.1649,458.6,2.0,1.0,-0.06,290.91119,38.335579,38.335563,-0.447,0.0,1.0,0.0,1
0.0,2455006.609,1.02,2.78458,18541.0,1.31266,23.6,0.0901,86.91,860.0,129.45,18.92,0.2965,534.5,1.0,1.0,-0.3,281.66916,42.038639,42.0385014,-0.807,0.0,1.0,0.0,1
0.0,2455094.094,0.968,38.1939,128.4,0.00095,5.06,0.0647,19.59,2259.0,6152.88,1.0276,0.3207,91.7,1.0,1.0,-0.42,295.26682,38.61124,38.61122,-0.03,0.0,1.0,0.0,1
